decoder,task,pool,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,generation_seconds,generation_examples,generation_ms_per_query,retrieval_seconds,source_log,source_log_sha256
P2L,oven_task6,oven_task6,0.2464,0.3883,0.425,,,1161.053522,50004,23.21921290296776,70.891698,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,infoseek_task6,infoseek_task6,0.1136,0.1916,0.2227,,,276.946962,11323,24.458797315199153,20.53491,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,fashioniq_task7,fashioniq_task7,,,0.1626,0.1959,0.2246,134.356737,6003,22.38159870064968,8.323581,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,cirr_task7,cirr_task7,0.1182,0.3626,0.4434,,,92.390177,4170,22.155917745803357,5.113141,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,oven_task8,oven_task8,0.3769,0.4768,0.4956,,,408.651643,14741,27.722111322162675,25.397635,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,infoseek_task8,infoseek_task8,0.1997,0.3192,0.3545,,,404.987775,17593,23.01982464616609,32.983391,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
Sequential,visualnews_task0,visualnews_task0,0.1225,0.2017,0.2236,,,950.564332,19995,47.54010162540636,37.052411,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,mscoco_task0,mscoco_task0_test,0.5273,0.7623,0.8265,,,1127.153978,24809,45.43326929743239,32.137495,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,fashion200k_task0,fashion200k_task0,,,0.1379,0.1792,0.2205,90.43252,1719,52.60763234438627,3.912135,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,webqa_task1,webqa_task1,0.2391,0.3128,0.3226,,,136.228835,2455,55.490360488798366,8.451446,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,edis_task2,edis_task2,0.2039,0.3622,0.4098,,,185.111212,3241,57.115461894477015,15.593258,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,webqa_task2,webqa_task2,0.3517,0.5177,0.5615,,,132.554208,2511,52.789409796893665,7.252896,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,visualnews_task3,visualnews_task3,0.1283,0.2106,0.2329,,,984.885698,20000,49.244284900000004,36.156642,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,mscoco_task3,mscoco_task3_test,0.7194,0.893,0.934,,,240.943424,5000,48.1886848,9.28753,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,fashion200k_task3,fashion200k_task3,,,0.1552,0.1974,0.2364,236.704842,4889,48.41579914092861,7.36151,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,nights_task4,nights_task4,0.0717,0.2981,0.4858,,,105.952275,2120,49.97748820754717,3.243109,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,oven_task6,oven_task6,0.2393,0.3747,0.4073,,,2403.520933,50004,48.06657333413327,71.249165,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,infoseek_task6,infoseek_task6,0.1092,0.1861,0.217,,,540.566077,11323,47.74053492890576,22.538869,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,fashioniq_task7,fashioniq_task7,,,0.1516,0.1836,0.2074,281.241606,6003,46.85017591204397,8.622915,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,cirr_task7,cirr_task7,0.124,0.3456,0.4216,,,194.550585,4170,46.654816546762596,4.91789,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,oven_task8,oven_task8,0.358,0.4452,0.4595,,,691.071444,14741,46.88090658707008,20.998099,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
Sequential,infoseek_task8,infoseek_task8,0.2013,0.3194,0.3503,,,820.590615,17593,46.64301796168931,23.697111,logs/vldb_matched/20260903_150504/sequential_all16_aggregate.log,94f6f0ad15ec54565e904050449465cd9c41b99585071a00f977966850a32763
